"Query 0" 0 0.0 0
"Query 1" 1 10.0 0
"Query 2" 1 10.0 0
"Query 3" 3 30.0 -11.25
"Query 4" 1 10.0 0
"Query 5" 2 20.0 -112.0
"Query 6" 1 10.0 0
"Query 7" 2 20.0 -49.0
"Query 8" 0 0.0 0
"Query 9" 1 10.0 1
"Query 10" 4 40.0 -4.3
"Query 11" 6 60.0 -1.1428571428571428
"Query 12" 1 10.0 0
"Query 13" 2 20.0 0.0
"Query 14" 5 50.0 0.75
"Query 15" 2 20.0 -64.0
"Query 16" 1 10.0 0
"Query 17" 2 20.0 -3.0
"Query 18" 2 20.0 -28.0
"Query 19" 1 10.0 0
"Query 20" 0 0.0 0
"Query 21" 0 0.0 0
"Query 22" 1 10.0 0
"Query 23" 2 20.0 -1.0
"Query 24" 4 40.0 -0.8
"Query 25" 0 0.0 0
"Query 26" 0 0.0 0
"Query 27" 3 30.0 -5.5
"Query 28" 0 0.0 0
"Query 29" 3 30.0 -10.5
"Query 30" 1 10.0 1
"Query 31" 2 20.0 -9.0
"Query 32" 2 20.0 -8.0
"Query 33" 2 20.0 -105.0
"Query 34" 4 40.0 0.09999999999999998
"Query 35" 3 30.0 -0.25
"Query 36" 2 20.0 -19.0
"Query 37" 3 30.0 -3.5
"Query 38" 0 0.0 0
"Query 39" 3 30.0 -15.5
"Query 40" 2 20.0 -57.0
"Query 41" 2 20.0 -33.0
"Query 42" 1 10.0 1
"Query 43" 1 10.0 0
"Query 44" 2 20.0 -9.0
"Query 45" 2 20.0 -12.0
"Query 46" 4 40.0 -6.5
"Query 47" 1 10.0 0
"Query 48" 3 30.0 0.5
"Query 49" 2 20.0 -3.0
"Query 50" 3 30.0 -2.5
"Query 51" 4 40.0 -1.5
"Query 52" 5 50.0 -6.7
"Query 53" 6 60.0 -0.05714285714285716
"Query 54" 6 60.0 -0.11428571428571432
"Query 55" 2 20.0 -7.0
"Query 56" 2 20.0 -64.0
"Query 57" 2 20.0 -4.0
"Query 58" 3 30.0 -7.25
"Query 59" 2 20.0 -52.0
"Query 60" 1 10.0 0
"Query 61" 1 10.0 0
"Query 62" 2 20.0 -8.0
"Query 63" 4 40.0 -5.2
"Query 64" 3 30.0 -13.5
"Query 65" 0 0.0 0
"Query 66" 3 30.0 -3.75
"Query 67" 1 10.0 0
"Query 68" 2 20.0 -19.0
"Query 69" 1 10.0 0
"Query 70" 3 30.0 -7.5
"Query 71" 2 20.0 -16.0
"Query 72" 2 20.0 -51.0
"Query 73" 3 30.0 -8.5
"Query 74" 2 20.0 -36.0
"Query 75" 0 0.0 0
"Query 76" 3 30.0 -3.75
"Query 77" 4 40.0 -5.3
"Query 78" 0 0.0 0
"Query 79" 4 40.0 -2.7
"Query 80" 4 40.0 -2.0
"Query 81" 0 0.0 0
"Query 82" 1 10.0 1
"Query 83" 3 30.0 -3.25
"Query 84" 1 10.0 0
"Query 85" 3 30.0 -4.25
"Query 86" 4 40.0 -0.8
"Query 87" 4 40.0 -10.7
"Query 88" 2 20.0 -16.0
"Query 89" 1 10.0 0
"Query 90" 2 20.0 -67.0
"Query 91" 3 30.0 -13.25
"Query 92" 2 20.0 -40.0
"Query 93" 4 40.0 -2.7
"Query 94" 2 20.0 -39.0
"Query 95" 0 0.0 0
"Query 96" 2 20.0 -72.0
"Query 97" 1 10.0 0
"Query 98" 1 10.0 0
"Query 99" 1 10.0 0
Averages 2.1 210.0 -11.621642857142858
